time,steps,distance,calories
1739524440,29,17,1.16
1739524200,28,16,1.12
1739523300,34,20,1.3599999
1739523240,98,58,3.9199998
1739523180,27,16,1.0799999
1739523000,69,41,2.76
1739522940,82,49,3.28
1739522880,17,10,0.68
1739522760,8,4,0.32
1739522700,104,62,4.16
1739522640,1,0,0.04
1739522580,46,27,1.8399999
1739522520,107,64,4.2799997
1739522460,91,54,3.6399999
1739522400,93,55,3.72
1739522340,91,54,3.6399999
1739522280,123,73,4.92
1739522220,74,44,2.96
1739522160,68,40,2.72
1739522100,74,44,2.96
1739522040,72,43,2.8799999
1739520480,62,37,2.48
1739469180,8,4,0.32
1739469120,39,23,1.56
1739469060,52,31,2.08
1739469000,16,9,0.64
1739468940,34,20,1.36
1739466900,51,30,2.04
1739466840,10,6,0.39999998
1739453340,15,9,0.59999996
1739453280,69,41,2.76
1739453100,35,21,1.4
1739453040,71,42,2.84
1739452860,12,7,0.48
1739448420,60,36,2.3999999
1739448360,61,36,2.44
1739448180,72,43,2.8799999
1739433480,11,6,0.44
1739433420,6,3,0.24
1739433360,66,39,2.6399999
1739431800,49,29,1.9599999
1739426940,6,4,0.0
1739397720,1,0,0.0
1739397660,13,9,0.0
1739397600,28,19,0.0
1739397540,7,4,0.0
1739397240,26,18,0.0
1739397180,29,17,1.16
1739393760,14,9,0.0
1739393700,8,5,0.0
1739393700,12,7,0.48
1739392740,35,24,1.0
1739392680,15,10,0.0
1739392680,22,13,0.88
1739392560,50,35,1.0
1739392500,38,22,1.52
1739391900,7,4,0.0
1739391240,38,26,1.0
1739391180,30,18,1.1999999
1739391180,65,45,2.0
1739391120,64,38,2.56
1739391120,24,16,0.0
1739391060,13,9,0.0
1739391060,73,43,2.9199998
1739391000,35,24,1.0
1739390940,41,24,1.64
1739389920,44,31,1.0
1739389860,29,17,1.16
1739389860,82,57,2.0
1739389800,51,30,2.04
1739387940,8,5,0.0
1739386560,28,19,0.0
1739386500,39,27,1.0
1739386500,11,6,0.44
1739386440,41,24,1.64
1739386440,33,23,1.0
1739386200,3,2,0.0
1739386140,73,51,2.0
1739386080,87,61,2.0
1739386080,71,42,2.84
1739386020,82,49,3.28
1739386020,91,64,2.0
1739385960,93,65,3.0
1739385960,91,54,3.6399999
1739385900,90,63,2.0
1739385900,91,53,3.6399999
1739385840,101,60,4.04
1739385840,89,62,2.0
1739385780,96,67,3.0
1739385780,1,0,0.04
1739385720,147,103,4.0
1739385660,99,70,3.0
1739385600,107,75,3.0
1739385540,112,79,3.0
1739385480,133,94,4.0
1739385420,113,79,3.0
1739385420,24,14,0.96
1739385360,96,67,3.0
1739385360,92,55,3.6799998
1739385300,103,61,4.12
1739385300,100,70,3.0
1739385240,32,19,1.28
1739385240,100,70,3.0
1739385180,99,59,3.9599998
1739385180,21,14,0.0
1739385120,27,16,1.0799999
1739385120,87,61,2.0
1739385060,97,68,3.0
1739385060,98,58,3.9199998
1739385000,98,69,3.0
1739385000,100,59,4.0
1739384940,95,57,3.8
1739384940,91,64,2.0
1739384880,88,52,3.52
1739384880,73,51,2.0
1739384820,62,37,2.48
1739384820,45,31,1.0
1739384760,49,29,1.9599999
1739384700,1,0,0.0
1739384640,94,66,3.0
1739384580,18,12,0.0
1739384580,75,45,3.0
1739384520,14,8,0.56
1739384520,92,65,3.0
1739384460,73,43,2.9199998
1739384460,67,47,2.0
1739384400,73,43,2.9199998
1739384400,97,68,3.0
1739384340,16,11,0.0
1739384340,101,60,4.04
1739384280,37,22,1.48
1739384280,1,0,0.0
1739384220,4,2,0.0
1739384160,20,14,0.0
1739384100,8,5,0.0
1739384040,88,63,2.0
1739383980,76,45,3.04
1739383980,88,63,2.0
1739383920,82,49,3.28
1739383380,9,7,0.0
1739383320,1,1,0.0
1739383260,97,69,3.0
1739383200,92,55,3.6799998
1739383200,10,8,0.0
1739381460,16,12,0.0
1739381400,16,9,0.64
1739381340,12,9,0.0
1739381280,13,7,0.52
1739381280,5,4,0.0
1739381220,19,14,0.0
1739381220,31,18,1.24
1739381160,24,14,0.96
1739381160,15,11,0.0
1739381100,11,6,0.44
1739381100,69,49,2.0
1739381040,35,25,1.0
1739381040,73,43,2.9199998
1739380980,21,12,0.84
1739380920,21,15,0.0
1739380860,16,9,0.64
1739380860,60,43,1.0
1739380800,93,66,3.0
1739380800,111,66,4.44
1739380740,13,10,0.0
1739380740,95,57,3.8
1739380680,26,15,1.04
1739380320,5,4,0.0
1739379840,48,34,1.0
1739379780,17,13,1.0
1739379780,26,15,1.04
1739379720,100,71,4.0
1739379720,43,25,1.7199999
1739379660,88,52,3.52
1739379660,96,68,4.0
1739379600,35,25,2.0
1739379600,37,22,1.48
1739379540,7,5,1.0
1739379060,67,48,3.0
1739379000,55,33,2.2
1739378940,16,9,0.64
1739378940,29,21,1.0
1739378880,15,11,1.0
1739378820,14,10,1.0
1739378760,12,7,0.48
1739375400,22,13,0.88
1739372220,29,17,1.16
1739375520,9,7,1.0
1739375460,26,19,1.0
1739372400,39,28,2.0
1739372340,38,27,2.0
1739372280,32,23,2.0
1739369040,14,10,1.0
1739368980,1,1,1.0
1739368920,7,5,1.0
1739366820,33,24,2.0
1739366520,11,6,0.44
1739364780,6,5,1.0
1739364360,6,5,1.0
1739363760,25,18,1.0
1739363460,26,19,1.0
1739347260,7,5,1.0
1739347080,16,9,0.64
1739347020,72,43,2.8799999
1739345460,21,12,0.84
1739345400,42,25,1.68
1739345220,18,10,0.71999997
1739345160,17,10,0.68
1739347140,23,17,1.0
1739347080,56,40,2.0
